AQW00061705        3614C
USC00267690        1013R
USC00267697        1169R
USC00267750         963R
USC00267806         338R
USC00267820         959R
USC00267908        1073R
USC00267953         887R
USC00268186        1083Q
USC00268202         979R
USC00268346         674R
USC00268443        1181R
USC00268588        1874S
USC00268761         658S
USC00268822        1249S
USC00268838        1162R
USC00268988         792R
USC00269072         539R
USC00269168        1068R
USC00269229        1230S
USC00270681         272S
USC00270690         388C
USC00270706         436R
USC00271647         275S
USC00271950         316R
USC00271968          68Q
USC00272174         662S
USC00272302         547Q
USC00272800         587S
USC00272999         166S
USC00273055         391Q
USC00273182         624R
USC00273530         412R
USC00273626         597C
USC00273658         509Q
USC00273850         580S
USC00274234         644R
USC00274399         648S
USC00274480         576S
USC00274556         396S
USC00275013         444Q
USC00275211         612R
USC00275412         589R
USC00275500         531R
USC00275629         343S
USC00275702         607R
USC00275712         645S
USC00275780         471Q
USC00275868         429R
USC00275995         453S
USC00276234         373R
USC00276818         163S
USC00276945         460R
USC00277833         459R
USC00278539         482Q
USC00278612         430R
USC00278614         418R
USC00278858         458Q
USC00278972         420R
USC00279278         528Q
USC00279966         234R
USC00280690         807R
USC00280734         819S
USC00280907         817R
USC00280990         652R
USC00281335         918S
USC00281351         814C
USC00281582         728S
USC00281592         850Q
USC00282023         912S
USC00282768         818R
USC00282805        1015R
USC00283029         855S
USC00283181         855R
USC00283291         906R
USC00283662         957R
USC00283704         921Q
USC00283935         385R
USC00283951         904C
USC00284229         972S
USC00284635        1010R
USC00284887         846R
USC00284987         627R
USC00285003         407R
USC00285728        1136R
USC00286055         883S
USC00286177         761R
USC00286843        1090R
USC00286979         843Q
USC00287079         966S
USC00287865         728R
USC00287936         950R
USC00288194         808R
USC00288644         639S
USC00288648         546R
USC00288816         815S
USC00288899         763R
USC00289187         713R
USC00289363         850R
USC00289910        1006R
USC00290041         933S
USC00290199        1640R
USC00290225        1161R
USC00290231        1349R
USC00290245        1081R
USC00290268        1579R
USC00290377        1245S
USC00290407         189R
USC00290417        1661S
USC00290426        1671R
USC00290525        1493R
USC00290600        1784S
USC00290640         878S
USC00290692        1218S
USC00290858        1535R
USC00290915        1521R
USC00290983        1303S
USC00290992        1808R
USC00291063        1284S
USC00291138        1741R
USC00291153        1766R
USC00291180         379R
USC00291286        1763S
USC00291332        1281R
USC00291440         842S
USC00291445        1534Q
USC00291450         664R
USC00291469        1804S
USC00291480        1551S
USC00291515        1294S
USC00291630         555S
USC00291647        1141S
USC00291664         424S
USC00291721        1812Q
USC00291813         735S
USC00291840        1485R
USC00291883        1100Q
USC00291910        1405S
USC00291918         721R
USC00291931          55R
USC00291939        1392S
USC00291963        1397S
USC00291982        1281S
USC00292030        1533S
USC00292095         693R
USC00292096         651R
USC00292100        1301R
USC00292207        1566R
USC00292241         862R
USC00292250        1123S
USC00292365        1693Q
USC00292436        1792R
USC00292453         827R
USC00292510        1405C
USC00292608         890S
USC00292700         252S
USC00292785         694S
USC00292820         902R
USC00292837         845S
USC00292848        1742S
USC00292854        1536S
USC00292865         884S
USC00293031        1194R
USC00293060        1115S
USC00293142        1077S
USC00293157        1484S
USC00293180         985R
USC00293265        1324S
USC00293294        1491S
USC00293296        1622Q
USC00293340        1236S
USC00293368        1714R
USC00293428        1034Q
USC00293488         132S
USC00293530        1199R
USC00293577        1513S
USC00293649        1114S
USC00293706         868S
USC00293775        1757R
USC00293855        1809R
USC00294009        1481S
USC00294026        1806R
USC00294030        1753R
USC00294112        1595R
USC00294346        1966S
USC00294366        1296Q
USC00294369        1115S
USC00294426        1685R
USC00294719        1242R
USC00294742         260S
USC00294862         921R
USC00294960         709R
USC00295079        1889S
USC00295084         475S
USC00295150        1511S
USC00295273         785R
USC00295290         654R
USC00295370        1901R
USC00295490         981S
USC00295516        1277R
USC00295560         465S
USC00295617        1541C
USC00295754        1259R
USC00295908        1031R
USC00295937        1166C
USC00295960         705C
USC00295965        1039R
USC00295968        1008Q
USC00296061        1098R
USC00296115        1475R
USC00296275         466S
USC00296281        1775R
USC00296435        1788R
USC00296465         843R
USC00296619         967C
USC00296659        1694R
USC00296676         929S
USC00296687        1055S
USC00296754        1455R
USC00296804        1405S
USC00296812         594R
USC00296911        1193Q
USC00297008        1587S
USC00297180         856R
USC00297226        1260S
USC00297254        1293R
USC00297279         688S
USC00297280         778S
USC00297323         108S
USC00297340        1650R
USC00297386        1414R
USC00297477        1437Q
USC00297481        1400Q
USC00297585        1125Q
USC00297605        1609Q
USC00297638         838R
USC00297649         565R
USC00297867        1523S
USC00298015         709R
USC00298085         925R
USC00298088         855Q
USC00298107        1506S
USC00298127        1748Q
USC00298284        1476R
USC00298387        1476S
USC00298501        1080R
USC00298518         896S
USC00298524         926R
USC00298535        1785S
USC00298596        1522S
USC00298668         940R
USC00298713        1539S
USC00298830         983R
USC00298834         561R
USC00298845         558S
USC00299031        1055S
USC00299085         325R
USC00299128        1737R
USC00299156        1520C
USC00299165        1634S
USC00299284        1517Q
USC00299330         947S
USC00299496        1161Q
USC00299569        1860R
USC00299660        1700R
USC00299686        1801S
USC00299691        1021S
USC00299806         970S
USC00299820         116S
USC00299851        1373S
USC00300023         555R
USC00300055         574C
USC00300063         448R
USC00300085         493S
USC00300093         350S
USC00300183         471R
USC00300220         371R
USC00300321         577R
USC00300331         582S
USC00300343         588S
USC00300360         555R
USC00300443         551S
USC00300448         583S
USC00300668         376R
USC00300732         560Q
USC00300766         441R
USC00300785         166S
USC00300870         443Q
USC00300889         465S
USC00300961         837Q
USC00301095         641S
USC00301110         444R
USC00301152         550S
USC00301211         473Q
USC00301309         596Q
USC00301387         325R
USC00301401         443S
USC00301436         332S
USC00301595         415R
USC00301623         376R
USC00301625         283Q
USC00301708         311R
USC00301752         255S
USC00301761         670R
USC00301787         341R
USC00301799         560R
USC00301966         297S
USC00301974         667S
USC00302031         461Q
USC00302036         389S
USC00302047         410Q
USC00302060         559S
USC00302129         825S
USC00302169         502Q
USC00302366         336R
USC00302454         488Q
USC00302554         537R
USC00302610         658S
USC00302627         626R
USC00303025         375S
USC00303033         523S
USC00303124         237R
USC00303184         474S
USC00303259         779R
USC00303284         679S
USC00303319         469R
USC00303346         382S
USC00303354         636R
USC00303360         308R
USC00303464         399R
USC00303773         467S
USC00303955         542R
USC00304025         794S
USC00304102         144S
USC00304174         491S
USC00304207         514R
USC00304555         318S
USC00304575         558R
USC00304647         437S
